"Ternio
(TERN)";"0.059726
USD"
"Morpheus Network
(MORPH)";"0.129585
USD"
"BlockCAT
(CAT)";"0.217042
USD"
"MonetaryUnit
(MUE)";"0.061192
USD"
"MustangCoin
(MST)";"0.198947
USD"
"Sether
(SETH)";"0.163039
USD"
"Darsek
(KED)";"0.004698
USD"
"Block Array
(ARY)";"0.038491
USD"
"Guaranteed Ethurance Token Extra
(GETX)";"0.005679
USD"
"Global Tour Coin
(GTC)";"0.002700
USD"
"InsurePal
(IPL)";"0.027072
USD"
"Ultimate Secure Cash
(USC)";"0.031878
USD"
"Goodomy
(GOOD)";"0.003923
USD"
"Lampix
(PIX)";"0.010306
USD"
"IncaKoin
(NKA)";"0.000046
USD"
"Callisto Network
(CLO)";"0.017928
USD"
"Iungo
(ING)";"0.037919
USD"
"Bob's Repair
(BOB)";"0.014172
USD"
"BunnyCoin
(BUN)";"0.000010
USD"
"bitJob
(STU)";"0.012011
USD"
"Masternodecoin
(MTNC)";"0.012411
USD"
"StrongHands
(SHND)";"3.9e-07
USD"
"Magi
(XMG)";"0.115615
USD"
"Travelflex
(TRF)";"0.050250
USD"
"SoonCoin
(SOON)";"0.004615
USD"
"InvestFeed
(IFT)";"0.024060
USD"
"Pirl
(PIRL)";"0.193313
USD"
"SwissBorg
(CHSB)";"0.012053
USD"
"HoboNickels
(HBN)";"0.006486
USD"
"ICO OpenLedger
(ICOO)";"0.664944
USD"
"MarteXcoin
(MXT)";"0.177931
USD"
"Mincoin
(MNC)";"0.013472
USD"
"Phoenixcoin
(PXC)";"0.005488
USD"
"ELTCOIN
(ELTCOIN)";"0.005481
USD"
"Machinecoin
(MAC)";"0.037395
USD"
"ZINC
(ZINC)";"0.138497
USD"
"Advanced Technology Coin
(ARC)";"0.018312
USD"
"Aricoin
(ARI)";"0.001186
USD"
"Golfcoin
(GOLF)";"0.000187
USD"
"MaxCoin
(MAX)";"0.064063
USD"
"Philosopher Stones
(PHS)";"0.036449
USD"
"Ratecoin
(XRA)";"0.001313
USD"
"PikcioChain
(PKC)";"0.148661
USD"
"Morpheus Labs
(MITX)";"0.019278
USD"
"Centurion
(CNT)";"0.003862
USD"
"CarTaxi Token
(CTX)";"0.004368
USD"
"Polcoin
(PLC)";"0.001186
USD"
"CryCash
(CRC)";"0.138086
USD"
"Xenon
(XNN)";"0.004179
USD"
"HunterCoin
(HUC)";"0.046486
USD"
"Octanox
(OTX)";"0.016794
USD"
"Wild Beast Block
(WBB)";"0.211963
USD"
"Cappasity
(CAPP)";"0.012340
USD"
"AdCoin
(ACC)";"0.029619
USD"
"Bezop
(BEZ)";"0.088913
USD"
"The Abyss
(ABYSS)";"0.031859
USD"
"Tokes
(TKS)";"0.698285
USD"
"Qbic
(QBIC)";"0.075503
USD"
"OP Coin
(OPC)";"0.000375
USD"
"BERNcash
(BERN)";"0.001809
USD"
"Jetcoin
(JET)";"0.052524
USD"
"RED
(RED)";"0.038349
USD"
"Travala
(AVA)";"0.108740
USD"
"SongCoin
(SONG)";"0.001310
USD"
"bitqy
(BQ)";"0.002059
USD"
"Circuits of Value
(COVAL)";"0.003243
USD"
"DigitalDevelopersFund
(DDF)";"0.018640
USD"
"EnergiToken
(ETK)";"0.004829
USD"
"CHIPS
(CHIPS)";"0.171915
USD"
"Independent Money System
(IMS)";"0.006985
USD"
"SpreadCoin
(SPR)";"0.242988
USD"
"APR Coin
(APR)";"0.728852
USD"
"WorldCoin
(WDC)";"0.006923
USD"
"Utrum
(OOT)";"0.057477
USD"
"Bitcloud
(BTDX)";"0.057307
USD"
"CryptoCarbon
(CCRB)";"0.084582
USD"
"Terracoin
(TRC)";"0.088107
USD"
"Version
(V)";"0.002183
USD"
"Allion
(ALL)";"0.011975
USD"
"Target Coin
(TGT)";"0.003742
USD"
"PoSW Coin
(POSW)";"0.035737
USD"
"Swing
(SWING)";"0.034805
USD"
"Zurcoin
(ZUR)";"0.001185
USD"
"Peculium
(PCL)";"0.002942
USD"
"VIVO
(VIVO)";"0.268554
USD"
"MCAP
(MCAP)";"0.051908
USD"
"Quebecoin
(QBC)";"0.005177
USD"
"HiCoin
(XHI)";"0.000374
USD"
"Elementrem
(ELE)";"0.012474
USD"
"Zap
(ZAP)";"0.047261
USD"
"ALIS
(ALIS)";"0.062021
USD""Bowhead
(AHT)";"0.090226
USD"
"WeAreSatoshi
(WSX)";"0.045113
USD"
"IntenseCoin
(ITNS)";"0.002323
USD"
"Elcoin
(EL)";"0.050229
USD"
"Viuly
(VIU)";"0.002048
USD"
"Dix Asset
(DIX)";"0.000007
USD"
"Datarius Credit
(DTRC)";"0.003188
USD"
"Useless Ethereum Token
(UET)";"0.013425
USD"
"IDEX Membership
(IDXM)";"2162.27
USD"
"Creditbit
(CRB)";"0.055779
USD"
"Debitum
(DEB)";"0.023867
USD"
"Pandacoin
(PND)";"0.000121
USD"
"AidCoin
(AID)";"0.104184
USD"
"Plancoin
(PLAN)";"0.064240
USD"
"Numus
(NMS)";"0.149684
USD"
"PiplCoin
(PIPL)";"0.003683
USD"
"Visio
(VISIO)";"0.001222
USD"
"Renos
(RNS)";"0.015599
USD"
"SuperCoin
(SUPER)";"0.007455
USD"
"TrezarCoin
(TZC)";"0.008297
USD"
"Happycoin
(HPC)";"0.028920
USD"
"Origami
(ORI)";"0.116575
USD"
"Tattoocoin (Standard Edition)
(TSE)";"0.005008
USD"
"PayCoin
(XPY)";"0.022884
USD"
"Tigercoin
(TGC)";"0.005488
USD"
"ParallelCoin
(DUO)";"0.510074
USD"
"TrueFlip
(TFL)";"0.607450
USD"
"Sterlingcoin
(SLG)";"0.051516
USD"
"ProCurrency
(PROC)";"0.002433
USD"
"DAO.Casino
(BET)";"0.020374
USD"
"LiteBar
(LTB)";"0.183738
USD"
"iEthereum
(IETH)";"0.016418
USD"
"Master Swiscoin
(MSCN)";"0.002103
USD"
"Deutsche eMark
(DEM)";"0.015653
USD"
"Breakout
(BRK)";"0.065900
USD"
"GCN Coin
(GCN)";"0.000007
USD"
"Pakcoin
(PAK)";"0.002457
USD"
"GeyserCoin
(GSR)";"0.556734
USD"
"Titcoin
(TIT)";"0.003881
USD"
"Cryptopay
(CPAY)";"0.034680
USD"
"Senderon
(SDRN)";"0.003742
USD"
"SagaCoin
(SAGA)";"0.081962
USD"
"Coin(O)
(CNO)";"0.001185
USD"
"Tokugawa
(TOK)";"0.076900
USD"
"Megacoin
(MEC)";"0.018648
USD"
"Cannation
(CNNC)";"0.009418
USD"
"Payfair
(PFR)";"0.033036
USD"
"Creatio
(XCRE)";"0.002051
USD"
"Russian Miner Coin
(RMC)";"4178.07
USD"
"PureVidz
(VIDZ)";"0.001011
USD"
"OBITS
(OBITS)";"0.206048
USD"
"SecureCoin
(SRC)";"0.010795
USD"
"Crystal Clear
(CCT)";"0.034712
USD"
"ZetaMicron
(ZMC)";"0.000062
USD"
"Rubycoin
(RBY)";"0.237928
USD"
"BitConnect
(BCC)";"0.368215
USD"
"Atmos
(ATMOS)";"0.021954
USD"
"ExclusiveCoin
(EXCL)";"0.397474
USD"
"DopeCoin
(DOPE)";"0.017834
USD"
"Oyster Shell
(SHL)";"0.023786
USD"
"KekCoin
(KEK)";"0.077212
USD"
"Ixcoin
(IXC)";"0.062743
USD"
"RedCoin
(RED)";"0.000998
USD"
"FidentiaX
(FDX)";"0.023860
USD"
"Crypto
(CTO)";"0.007488
USD"
"Ccore
(CCO)";"0.083352
USD"
"Stipend
(SPD)";"0.387230
USD"
"Bitmark
(BTM)";"0.068933
USD"
"Suretly
(SUR)";"2.41
USD"
"HOQU
(HQX)";"0.017169
USD"
"Pluton
(PLU)";"3.78
USD"
"AllSafe
(ASAFE2)";"0.009762
USD"

"Biotron
(BTRN)";"0.015717
USD"
"Tidex Token
(TDX)";"0.075749
USD"
"Sociall
(SCL)";"0.132921
USD"
"Halcyon
(HAL)";"0.053537
USD"
"Uniform Fiscal Object
(UFO)";"0.000374
USD"
"Jesus Coin
(JC)";"0.000030
USD"
"Autonio
(NIO)";"0.016118
USD"
"808Coin
(808)";"0.000006
USD"
"Aigang
(AIX)";"0.072844
USD"
"EquiTrader
(EQT)";"0.058547
USD"
"Comet
(CMT)";"0.058924
USD"
"Miners' Reward Token
(MRT)";"0.092939
USD"
"BigUp
(BIGUP)";"0.000188
USD"
"Zeitcoin
(ZEIT)";"0.000051
USD"
"EventChain
(EVC)";"0.039357
USD"
"TrumpCoin
(TRUMP)";"0.053177
USD"
"PetroDollar
(XPD)";"0.006413
USD"
"Chronologic
(DAY)";"1.41
USD"
"Blockpool
(BPL)";"0.068701
USD"
"Growers International
(GRWI)";"0.432214
USD"
"Elysium
(ELS)";"0.004805
USD"
"Accelerator Network
(ACC)";"0.703900
USD"
"Obsidian
(ODN)";"0.031345
USD"
"Innova
(INN)";"0.104016
USD"
"Startcoin
(START)";"0.008132
USD"
"United Crypto Community
(UCOM)";"0.380625
USD"
"bitGold
(BITGOLD)";"1429.58
USD"
"Bitgem
(BTG)";"3.90
USD"
"DigiCube
(CUBE)";"0.000066
USD"
"ChessCoin
(CHESS)";"0.003988
USD"
"Photon
(PHO)";"0.000034
USD"
"Kubera Coin
(KBR)";"0.001929
USD"
"ArbitrageCT
(ARCT)";"0.002974
USD"
"WandX
(WAND)";"0.057386
USD"
"Digitalcoin
(DGC)";"0.040298
USD"
"StarterCoin
(STAC)";"0.003747
USD"
"iCoin
(ICN)";"0.005741
USD"
"Soma
(SCT)";"0.106276
USD"
"Neuro
(NRO)";"0.001498
USD"
"SmartCoin
(SMC)";"0.007782
USD"
"Eternity
(ENT)";"0.031438
USD"
"Coinonat
(CXT)";"0.002931
USD"
"CryptoInsight
(TKR)";"0.013003
USD"
"InPay
(INPAY)";"0.061138
USD"
"Veros
(VRS)";"0.027401
USD"
"Harvest Masternode Coin
(HC)";"0.048670
USD"
"NEVERDIE
(NDC)";"0.016906
USD"
"KiloCoin
(KLC)";"0.031668
USD"
"Steneum Coin
(STN)";"0.025856
USD"
"Veltor
(VLT)";"0.075764
USD"
"StarCash Network
(STARS)";"0.130662
USD"
"StarCredits
(STRC)";"0.097708
USD"
"Bank Coin
(BANK)";"0.015038
USD"
"Authorship
(ATS)";"0.004989
USD"
"WomenCoin
(WOMEN)";"0.000062
USD"
"EagleCoin
(EAGLE)";"0.082074
USD"
"Rise
(RISE)";"0.046735
USD"
"GuccioneCoin
(GCC)";"0.001810
USD"
"bitBTC
(BITBTC)";"6644.77
USD"
"Unify
(UNIFY)";"0.023340
USD"
"Guncoin
(GUN)";"0.001373
USD"
"Billionaire Token
(XBL)";"0.099031
USD"
"Live Stars
(LIVE)";"0.020394
USD"
"E-coin
(ECN)";"3.56
USD"
"BitQuark
(BTQ)";"0.007051
USD"
"Bitair
(BTCA)";"0.000378
USD"
"REAL
(REAL)";"0.319549
USD"
"Monster Byte
(MBI)";"0.060110
USD"
"FlypMe
(FYP)";"0.087316
USD"
"Bitcoin Fast
(BCF)";"0.008112
USD"
"KushCoin
(KUSH)";"0.038294
USD"
"ParkByte
(PKB)";"0.021589
USD"
"Ellaism
(ELLA)";"0.062902
USD"
"Ammo Reloaded
(AMMO)";"0.002995
USD"
"EBCH
(EBCH)";"0.056676
USD"
"Rubies
(RBIES)";"0.018399
USD"
"Hedge
(HDG)";"0.834803
USD"
"CannaCoin
(CCN)";"0.035612
USD"
"EcoCoin
(ECO)";"0.068668
USD"
"imbrex
(REX)";"0.229816
USD"
"MagicCoin
(MAGE)";"0.096484
USD"
"Bitdeal
(BDL)";"0.002748
USD"
"Virta Unique Coin
(VUC)";"0.000561
USD"
"Helleniccoin
(HNC)";"0.002278
USD"
"Pascal Lite
(PASL)";"0.023076
USD"
"Granite
(GRN)";"0.002309
USD"
"Bitsum
(BSM)";"0.000436
USD"
"AmsterdamCoin
(AMS)";"0.000998
USD"
"Bitzeny
(ZNY)";"0.008129
USD"
"FujiCoin
(FJC)";"0.000312
USD"
"300 Token
(300)";"449.26
USD"
"Ties.DB
(TIE)";"0.043670
USD"
"Argentum
(ARG)";"0.102097
USD"
"HomeBlockCoin
(HBC)";"0.012162
USD"
"Mao Zedong
(MAO)";"0.053973
USD"
"Tracto
(TRCT)";"0.056584
USD"
"Bitcoin Scrypt
(BTCS)";"0.017346
USD"
"Pioneer Coin
(PCOIN)";"0.010108
USD"
"PonziCoin
(PONZI)";"0.026644
USD"
"SmileyCoin
(SMLY)";"0.000019
USD"
"NetCoin
(NET)";"0.000562
USD"
"Leviar
(XLC)";"0.019085
USD"
"Rimbit
(RBT)";"0.001273
USD"
"VoteCoin
(VOT)";"0.006486
USD"
"BitBar
(BTB)";"8.56
USD"
"Safe Trade Coin
(XSTC)";"0.000311
USD"
"Bytecent
(BYC)";"0.357035
USD"
"Dalecoin
(DALC)";"0.166640
USD"
"Advanced Internet Blocks
(AIB)";"0.011197
USD"
"Netko
(NETKO)";"0.036865
USD"
"e-Gulden
(EFL)";"0.072696
USD"
"Bitvolt
(VOLT)";"0.000811
USD"
"NuShares
(NSR)";"0.000250
USD"
"TOKYO
(TOKC)";"0.000998
USD"
"Bitcoin Planet
(BTPL)";"0.008732
USD"
"Artex Coin
(ATX)";"0.000277
USD"
"Signals Network
(SGN)";"0.007140
USD"
"Freicoin
(FRC)";"0.006177
USD"
"GoldBlocks
(GB)";"0.008809
USD"
"Eryllium
(ERY)";"0.005676
USD"
"CrowdCoin
(CRC)";"0.050337
USD"
"MetalCoin
(METAL)";"0.007550
USD"
"C-Bit
(XCT)";"0.000749
USD"
"Project Pai
(PAI)";"1.02
USD"
"CoinMeet
(MEET)";"0.019821
USD"
"Flaxscript
(FLAX)";"0.007439
USD"
"Intelligent Investment Chain
(IIC)";"0.001994
USD"
"STRAKS
(STAK)";"0.110582
USD"
"Lightning Bitcoin
(LBTC)";"10.28
USD"
"SOILcoin
(SOIL)";"0.012474
USD"
"Zennies
(ZENI)";"0.000437
USD"
"Catcoin
(CAT)";"0.013977
USD"
"Onix
(ONX)";"0.004493
USD"
"Filecoin [Futures]
(FIL)";"6.88
USD"
"LevoPlus
(LVPS)";"0.001123
USD"
"LanaCoin
(LANA)";"0.000374
USD"
"U.CASH
(UCASH)";"0.003155
USD"
"Joulecoin
(XJO)";"0.008183
USD"
"InsurChain
(INSUR)";"0.001579
USD"
"Phantomx
(PNX)";"0.001340
USD"
"bitSilver
(BITSILVER)";"18.73
USD"
"Bankcoin
(B@)";"0.007083
USD"
"Level Up Coin
(LUC)";"0.005566
USD"
"Fastcoin
(FST)";"0.002058
USD"
"OTCBTC Token
(OTB)";"0.191179
USD"
"Minereum
(MNE)";"0.078046
USD"
"Emerald Crypto
(EMD)";"0.011102
USD"
"iQuant
(IQT)";"0.033387
USD"
"ContractNet
(CNET)";"0.160598
USD"
"RevolverCoin
(XRE)";"0.005239
USD"
"Bolivarcoin
(BOLI)";"0.009355
USD"
"FirstCoin
(FRST)";"0.019323
USD"
"Network Token
(NTWK)";"0.014743
USD"
"Ignition
(IC)";"0.675891
USD"
"Marscoin
(MARS)";"0.006673
USD"
"Monkey Project
(MONK)";"2.49
USD"
"GlobalCoin
(GLC)";"0.002557
USD"
"BoostCoin
(BOST)";"0.006739
USD"
"SalPay
(SAL)";"0.049050
USD"
"BenjiRolls
(BENJI)";"0.001688
USD"
"Cryptonite
(XCN)";"0.001123
USD"
"SpaceCoin
(SPACE)";"0.006333
USD"
"SnipCoin
(SNIP)";"0.000429
USD"
"TokenDesk
(TDS)";"0.038519
USD"
"CoinonatX
(XCXT)";"0.005960
USD"
"8Bit
(8BIT)";"0.090133
USD"
84
USD"
"VapersCoin
(VPRC)";"0.000062
USD"
"TajCoin
(TAJ)";"0.008979
USD"
"Digix Gold Token
(DGX)";"41.56
USD"
"Internet of Things
(XOT)";"149.68
USD"
"Kobocoin
(KOBO)";"0.037424
USD"
"Transcodium
(TNS)";"0.009113
USD"
"Rupee
(RUP)";"0.025146
USD"
"Luna Coin
(LUNA)";"0.017208
USD"
"TeslaCoin
(TES)";"0.019646
USD"
"Animation Vision Cash
(AVH)";"0.003773
USD"
"KingN Coin
(KNC)";"11.23
USD"
"Alphabit
(ABC)";"26.30
USD"
"High Gain
(HIGH)";"0.000125
USD"
"ICOBID
(ICOB)";"0.000561
USD"
"MACRON
(MCRN)";"0.000249
USD"
"Commodity Ad Network
(CDX)";"0.023786
USD"
"Levocoin
(LEVO)";"0.000437
USD"
"SixEleven
(611)";"0.172761
USD"
"PROUD Money
(PROUD)";"0.020841
USD"
"TurboCoin
(TURBO)";"0.000062
USD"
"CryptCoin
(CRYPT)";"0.080555
USD"
"BitSerial
(BTE)";"0.003056
USD"
"Zilbercoin
(ZBC)";"0.023711
USD"
"Tokenbox
(TBX)";"0.104840
USD"
"Argus
(ARGUS)";"0.011419
USD"
"PrismChain
(PRM)";"0.000700
USD"
"ConnectJob
(CJT)";"0.006133
USD"
"Concoin
(CONX)";"0.006923
USD"
"vTorrent
(VTR)";"0.053349
USD"
"Octoin Coin
(OCC)";"0.370399
USD"
"Musiconomi
(MCI)";"0.020796
USD"
"GoldPieces
(GP)";"0.047812
USD"
"Virtacoin
(VTA)";"0.000014
USD"
"Infinity Economics
(XIN)";"0.007472
USD"
"Influxcoin
(INFX)";"0.070134
USD"
"Sentinel Protocol
(UPP)";"0.054842
USD"
"FuzzBalls
(FUZZ)";"0.008611
USD"
"Content Neutrality Network
(CNN)";"0.001615
USD"
"Freyrchain
(FREC)";"0.008478
USD"
"CacheCoin
(CACH)";"0.011543
USD"
"BTCtalkcoin
(TALK)";"0.006552
USD"
"Shekel
(JEW)";"0.004312
USD"
"Escroco
(ESC)";"0.029077
USD"
"Egretia
(EGT)";"0.010346
USD"
"HarmonyCoin
(HMC)";"0.003789
USD"
"Triangles
(TRI)";"2.97
USD"
"Ecobit
(ECOB)";"0.012738
USD"
"EthBet
(EBET)";"0.034674
USD"
"HealthyWormCoin
(WORM)";"0.000312
USD"
"Opal
(OPAL)";"0.026269
USD"
"Exchange Union
(XUC)";"4.91
USD"
"Influence Chain
(INC)";"0.122201
USD"
"Bankera
(BNK)";"0.005148
USD"
"iTicoin
(ITI)";"10.04
USD"
"GlobalBoost-Y
(BSTY)";"0.017511
USD"
"WCOIN
(WIN)";"0.057693
USD"
"DasCoin
(DASC)";"0.092519
USD"
"OceanChain
(OC)";"0.001436
USD"
"UnbreakableCoin
(UNB)";"0.263441
USD"
"GreenMed
(GRMD)";"0.019886
USD"
"Gapcoin
(GAP)";"0.013727
USD"
"IslaCoin
(ISL)";"0.109923
USD"
"EncryptoTel [WAVES]
(ETT)";"0.044632
USD"
"RouletteToken
(RLT)";"0.049209
USD"
"Asiadigicoin
(ADCN)";"0.001373
USD"
"More Coin
(MORE)";"0.235270
USD"
"DROXNE
(DRXNE)";"0.001934
USD"
"MSD
(MSD)";"0.003368
USD"
"Bittwatt
(BWT)";"0.041331
USD"
"Intelligent Trading Foundation
(ITT)";"0.039903
USD"
"Bitcoin 21
(XBTC21)";"0.139955
USD"
"Grimcoin
(GRIM)";"0.000577
USD"
"Ether Zero
(ETZ)";"0.197702
USD"
"Roofs
(ROOFS)";"0.000374
USD"
"WA Space
(WA)";"0.004305
USD"
"Opus
(OPT)";"0.012479
USD"
"Eurocoin
(EUC)";"0.006868
USD"
"Farad
(FRD)";"0.006557
USD"
"Crowdholding
(YUP)";"0.002297
USD"
"MarxCoin
(MARX)";"0.001096
USD"
"Slothcoin
(SLOTH)";"0.000003
USD"
"Bolenum
(BLN)";"0.002184
USD"
"LetItRide
(LIR)";"0.000749
USD"
"Budbo
(BUBO)";"0.016138
USD"
"Canada eCoin
(CDN)";"0.007850
USD"
"Fantomcoin
(FCN)";"0.202372
USD"
"SHACoin
(SHA)";"0.000811
USD"
"Jin Coin
(JIN)";"0.010041
USD"
"ShellCoin
(SHELL)";"0.018657
USD"
"Ethereum Dark
(ETHD)";"0.051766
USD"
"Aseancoin
(ASN)";"0.003241
USD"
"Wi Coin
(WIC)";"0.000562
USD"
"Minex
(MINEX)";"0.004010
USD"
"AudioCoin
(ADC)";"0.001311
USD"
"Rcoin
(RCN)";"0.000062
USD"
"SocialCoin
(SOCC)";"0.009106
USD"
"Orbitcoin
(ORB)";"0.214361
USD"
"ATMCoin
(ATMC)";"0.402894
USD"
"Cream
(CRM)";"0.004535
USD"
"Magnet
(MAG)";"0.020418
USD"
"Cryptojacks
(CJ)";"0.000374
USD"
"Coimatic 3.0
(CTIC3)";"0.002107
USD"
"Motocoin
(MOTO)";"0.028941
USD"
"Beatcoin
(XBTS)";"0.038103
USD"
"Fitrova
(FRV)";"0.000009
USD"
"Bit-Z Token
(BZ)";"0.196684
USD"
"BumbaCoin
(BUMBA)";"0.004804
USD"
"DWS
(DWS)";"0.917606
USD"
"Honey
(HONEY)";"0.090906
USD"
"FUNCoin
(FUNC)";"0.008090
USD"
"PopularCoin
(POP)";"0.000125
USD"

"InsaneCoin
(INSN)";"0.019991
USD"
"Acute Angle Cloud
(AAC)";"0.027351
USD"
"Desire
(DSR)";"0.020793
USD"
"BelugaPay
(BBI)";"0.068802
USD"
"SEER
(SEER)";"0.005916
USD"
"Rivetz
(RVT)";"0.193342
USD"
"Tristar Coin
(TSTR)";"0.000250
USD"
"VectorAI
(VEC2)";"0.002058
USD"
"Bit20
(BTWTY)";"285,159
USD"
"QubitCoin
(Q2C)";"0.001560
USD"
"EJOY
(EJOY)";"0.001006
USD"
"Truckcoin
(TRK)";"0.001622
USD"
"FansTime
(FTI)";"0.006396
USD"
"HOdlcoin
(HODL)";"0.001560
USD"
"Embers
(MBRS)";"0.011994
USD"
"BlazeCoin
(BLZ)";"0.000336
USD"
"STEX
(STEX)";"1.78
USD"
"Bitcurrency
(BTCR)";"0.001310
USD"
"TEKcoin
(TEK)";"0.000129
USD"
"Rublix
(RBLX)";"0.130551
USD"
"Astro
(ASTRO)";"0.806500
USD"
"JobsCoin
(JOBS)";"0.000312
USD"
"ZoZoCoin
(ZZC)";"0.083986
USD"
"Loopring [NEO]
(LRN)";"0.239898
USD"
"Linx
(LINX)";"0.018711
USD"
"FundYourselfNow
(FYN)";"0.502779
USD"
"COMSA [ETH]
(CMS)";"0.205455
USD"
"Joincoin
(J)";"0.046673
USD"
"SecretCoin
(SCRT)";"0.026195
USD"
"Coin2.1
(C2)";"0.001642
USD"
"Decentralized Machine Learning
(DML)";"0.019299
USD"
"Storjcoin X
(SJCX)";"0.621968
USD"
"TrakInvest
(TRAK)";"0.020795
USD"
"Zetacoin
(ZET)";"0.001934
USD"
"NobleCoin
(NOBL)";"0.000374
USD"
"SegWit2x
(B2X)";"0.311494
USD"
"BitAsean
(BAS)";"0.004334
USD"
"Hyper Pay
(HPY)";"0.008016
USD"
"Kronecoin
(KRONE)";"0.003869
USD"
"Shadow Token
(SHDW)";"0.012167
USD"
"WhaleCoin
(WHL)";"0.037697
USD"
"Smoke
(SMOKE)";"0.031894
USD"
"Speed Mining Service
(SMS)";"7.10
USD"
"Cashcoin
(CASH)";"0.030730
USD"
"EA Coin
(EAG)";"0.001996
USD"
"NEO GOLD
(NEOG)";"0.001186
USD"
"SpeedCash
(SCS)";"0.125050
USD"
"GrandCoin
(GDC)";"0.000187
USD"
"NamoCoin
(NAMO)";"0.000124
USD"
"Antimatter
(ANTX)";"0.000125
USD"
"BioBar
(BIOB)";"0.013489
USD"
"CompuCoin
(CPN)";"0.001997
USD"
"BetaCoin
(BET)";"0.001251
USD"
D"
"CrevaCoin
(CREVA)";"0.000125
USD"
"JavaScript Token
(JS)";"0.001372
USD"
"Trident Group
(TRDT)";"0.047815
USD"
"Litecoin Plus
(LCP)";"0.124794
USD"
"Theresa May Coin
(MAY)";"0.001255
USD"
"X-Coin
(XCO)";"0.008734
USD"
"DaTa eXchange
(DTX)";"0.030838
USD"
"0xcert
(ZXC)";"0.037817
USD"
"Californium
(CF)";"0.019085
USD"
"Trollcoin
(TROLL)";"0.000818
USD"
"Synergy
(SNRG)";"0.111878
USD"
"Global Social Chain
(GSC)";"0.045698
USD"
"Peerguess
(GUESS)";"0.002246
USD"
"Bitradio
(BRO)";"0.051395
USD"
"APX
(APX)";"6.31
USD"
"EduCoin
(EDU)";"0.001628
USD"
"Litecred
(LTCR)";"0.001186
USD"
"TagCoin
(TAG)";"0.043971
USD"
"Lykke
(LKK)";"0.059922
USD"
"POPCHAIN
(PCH)";"0.031337
USD"
"Fantasy Cash
(FANS)";"0.083612
USD"
"TittieCoin
(TTC)";"0.000254
USD"
"Karatgold Coin
(KBC)";"0.010259
USD"
"Aurora
(AOA)";"0.048492
USD"
"Evil Coin
(EVIL)";"0.011918
USD"
"Kolion
(KLN)";"0.835052
USD"
"Pixie Coin
(PXC)";"0.001544
USD"
"Bitcoin Red
(BTCRED)";"0.009866
USD"
"MojoCoin
(MOJO)";"0.013841
USD"
"Mineum
(MNM)";"0.019215
USD"
"BnrtxCoin
(BNX)";"0.000998
USD"
"Bela
(BELA)";"0.071201
USD"
"Maggie
(MAG)";"0.006687
USD"
"WINCOIN
(WC)";"0.428669
USD"
"LeaCoin
(LEA)";"0.000435
USD"
"Emphy
(EPY)";"0.062800
USD"
"DeusCoin
(DEUS)";"0.040496
USD"
"NevaCoin
(NEVA)";"0.046267
USD"
"Dollarcoin
(DLC)";"0.011918
USD"
"Candy
(CANDY)";"0.000130
USD"
"EDRCoin
(EDRC)";"0.138187
USD"
"GlobalToken
(GLT)";"0.004577
USD"
"Hero
(HERO)";"0.090155
USD"
"Ethorse
(HORSE)";"0.016882
USD"
"Sparks
(SPK)";"0.114959
USD"
"Sovereign Hero
(HERO)";"182.85
USD"
"Cabbage
(CAB)";"0.002558
USD"
"Prime-XI
(PXI)";"0.003871
USD"
"Qube
(QUBE)";"0.012634
USD"
"Nitro
(NOX)";"0.051922
USD"
"EtherDelta Token
(EDT)";"0.001903
USD"
"PosEx
(PEX)";"0.007675
USD"
"HireMatch
(HIRE)";"0.022833
USD"
"Starbase
(STAR)";"0.007758
USD"
"Ethereum Lite
(ELITE)";"0.235798
USD"
"RonPaulCoin
(RPC)";"0.080331
USD"
"CORION
(COR)";"0.067483
USD"
D"
"SJWCoin
(SJW)";"0.000250
USD"
"Cyder
(CYDER)";"0.001057
USD"
"The Cypherfunks
(FUNK)";"0.000011
USD"
"Quatloo
(QTL)";"0.012916
USD"
"KlondikeCoin
(KDC)";"0.008673
USD"
"Project-X
(NANOX)";"43615.50
USD"
"ChainCoin
(CHC)";"0.070821
USD"
"Bitok
(BITOK)";"0.000064
USD"
"UniversalRoyalCoin
(UNRC)";"0.000250
USD"
"Gold Pressed Latinum
(GPL)";"0.149345
USD"
"PostCoin
(POST)";"0.012855
USD"
"Dreamcoin
(DRM)";"0.023212
USD""Dutch Coin
(DUTCH)";"0.000187
USD"

"Digital Rupees
(DRS)";"0.000125
USD"
"InvestDigital
(IDT)";"0.023978
USD"
"Solarflarecoin
(SFC)";"0.006678
USD"
"Moin
(MOIN)";"0.061399
USD"
"BipCoin
(BIP)";"0.026581
USD"
"DCORP Utility
(DRPU)";"0.120419
USD"
"Dotcoin
(DOT)";"0.013241
USD"
"Dignity
(DIG)";"0.103828
USD"
"PayCon
(CON)";"0.002371
USD"
"Piggycoin
(PIGGY)";"0.000686
USD"
"PoSToken
(POS)";"0.034942
USD"
"Ethereum Cash
(ECASH)";"0.019905
USD"
"Grid+
(GRID)";"0.299067
USD"
"Content and AD Network
(CAN)";"0.012524
USD"
"Electronic PK Chain
(EPC)";"0.034320
USD"
"Equal
(EQL)";"0.001168
USD"
"Dorado
(DOR)";"0.012965
USD"
"Regalcoin
(REC)";"0.024212
USD"
"TopChain
(TOPC)";"0.016773
USD"
"DigiFinexToken
(DFT)";"0.669648
USD"
